,Id,Created (UTC),Latitude,Longitude,Text,score,score_translated
0,1198274061337382912,2019-11-23 16:16:13,26.1620314,91.7477705,Kinti pyari ladki #AditiRathoreCapturesLondonsHeart https://t.co/puTAcefVhc,0.0,0.0
1,1438909645855215625,2021-09-17 16:56:07,26.150686,91.730339,"Birthday Bash 
#Birthday Gurl Lots of Love and Happiness to ya @ Gauhati https://t.co/r7My2j8Ttk",0.6,0.6
2,1438894227111415810,2021-09-17 15:54:51,26.22938233,91.70334711,Just posted a photo @ Brahmaputra Industrial Park https://t.co/y35FlGmoGY,0.0,0.0
3,1438904554616152072,2021-09-17 16:35:54,26.22938233,91.70334711,Just posted a photo @ Brahmaputra Industrial Park https://t.co/BFTmDXPA0Q,0.0,0.0
4,1438908995050352650,2021-09-17 16:53:32,26.10452,91.5913099,Gauhati♥️ @ Guwahati Assam India https://t.co/3X9RKgrHsd,0.0,0.34
5,1438910436989145090,2021-09-17 16:59:16,26.150686,91.730339,#beer #birthdaygirl #birthdaywishes #dance #music #house party. @ Gauhati https://t.co/i6OwMJH2c9,0.0,0.0
6,1439254409746210825,2021-09-18 15:46:05,26.150686,91.730339,https://t.co/8SGJR7WTsd share this post 📯 @ Gauhati https://t.co/xANtHFgD6I,0.0,0.0
7,1439140129575145472,2021-09-18 08:11:59,26.150686,91.730339,"Just posted a photo @ Nagaon,assam,india https://t.co/rdkECPV6mR",0.0,0.0
8,1439217251417219080,2021-09-18 13:18:26,26.15461918,91.78085676,After ages! @ Freemason's Brew Works https://t.co/i1dZUdQqu0,0.0,0.0
9,1439084772899311621,2021-09-18 04:32:01,26.150686,91.730339,Just posted a photo @ Gauhati https://t.co/cSYK8aH52K,0.0,0.0
10,1439196158287650819,2021-09-18 11:54:37,26.13635895,91.78461313,Just posted a photo @ Guwahati City https://t.co/2BBaca7tPP,0.0,0.0
11,1439248814821584902,2021-09-18 15:23:52,26.18573,91.7395,All the best for your new journey as a cyclist 🚴🚴🚴 @ Modern Bikes https://t.co/hyfziSUIv9,0.4454545454545454,0.4454545454545454
12,1439168637118521345,2021-09-18 10:05:16,26.13014683,91.79527649,"Just another lunch! Ok, mash a green devil into it 

#fish #steamfish #bhapa #homefood #lunch #Assam #Northeast @ S… https://t.co/jM36E76IpL",0.15,0.15
13,1439296885139857412,2021-09-18 18:34:52,26.14,91.77,Just posted a photo @ Assam https://t.co/S3i7UG1osr,0.0,0.0
14,1439292525890740231,2021-09-18 18:17:33,26.1117583,91.7613491,🦸⛹️#viswakarmapuja #2k21 #lokhra #guwahaticity #assam @ Guwahati Lokhra https://t.co/HhTM1haZhH,0.0,0.34
15,1439297185515032579,2021-09-18 18:36:04,26.14,91.77,Just posted a photo @ Assam https://t.co/lM2DOfAYWh,0.0,0.0
16,1439493798950694912,2021-09-19 07:37:20,26.16079205,91.78104305,Just posted a photo @ Chai Piyo https://t.co/YSFbjssRL4,0.0,0.0
17,1439528590836748290,2021-09-19 09:55:35,26.16194,91.78108,"One like for  share
https://t.co/8SGJR7WTsd
Subscribe now @ Gauhati Commerce College https://t.co/XvuHIoeWll",0.0,0.0
18,1439411167001251844,2021-09-19 02:08:59,26.15461918,91.78085676,Pre Curfew drinking session..! @ Freemason's Brew Works https://t.co/R19lAkpBSv,0.0,0.0
19,1439562120698470400,2021-09-19 12:08:50,26.15918,91.7375,Tension olpo beshi hoise @ Ambari Tiniali https://t.co/AbcYQK98gx,0.0,0.34
20,1439298733502517259,2021-09-18 18:42:13,26.1514318,91.79243823,Just posted a photo @ The RAW GYM https://t.co/Ucgt25zyT1,-0.23076923076923078,-0.23076923076923078
21,1439530828673994754,2021-09-19 10:04:29,26.120599,91.785884,"Discover hotels around Guwahati, India from 1 EUR per night: https://t.co/eZqzNQk2tH https://t.co/r7Y6Mj4ton",0.0,0.0
22,1439530828896391168,2021-09-19 10:04:29,26.120599,91.785884,New landmark created! Discover interesting places around: https://t.co/cZDvAi9EXd https://t.co/vwutCCEunW,0.3352272727272727,0.3352272727272727
23,1439563182859763712,2021-09-19 12:13:03,26.13635895,91.78461313,"Elegance is good taste, plus a dash of daring. ✨💫☀️

#makeup #photography #exlore #fyp #tribalmakeup #whiteliner… https://t.co/lo30DmxtQm",0.7,0.7
24,1439617162172243977,2021-09-19 15:47:32,26.17838763,91.75227602,"Nancy II Guwahati, Assam II September bollywood contest @ Guwahati, Assam (North-East) https://t.co/LhKmVGNG9B",0.0,0.0
25,1439690291531993088,2021-09-19 20:38:08,26.14,91.77,Just posted a video @ Assam https://t.co/Cf5f9sQweE,0.0,0.0
26,1439612420377489408,2021-09-19 15:28:42,26.13635895,91.78461313,"আজকের নতুন জীবনে সব কিছুই নতুন
পুরোনো সব স্মৃতি ভুলে গেছি
খুঁজে পেয়েছি নতুন করে নিজেকে @ Guwahati City https://t.co/T8F00Ql9vT",0.0,0.34
27,1439841225285189633,2021-09-20 06:37:53,26.1384338,91.7848624,"#3BHK #Apartment in Ashok Palace #Flat #ForRent #Survey #Guwahati #Residential #Property
https://t.co/jSXpgCiSjn",-0.025,-0.025
28,1439664476144513027,2021-09-19 18:55:33,26.10452,91.5913099,সপোন আৰু আপোন কেতিয়া হেৰাই যায় ধৰিবই নোৱাৰি😎 @ Guwahati Assam India https://t.co/cqyBUTBcTC,0.0,0.34
29,1439664439360360450,2021-09-19 18:55:24,26.15068,91.64818,দুখৰ সময়ে এদিন বাগৰ সলাই সুদিনৰ দুৱাৰ মুকলি কৰিব 😎 @ Dipor Beel https://t.co/Sd3uUtQhNk,0.0,0.34
30,1439664507819864068,2021-09-19 18:55:40,26.15812927,91.77258113,"সাহস আছে বুকুতে, সপোন আছে চকুতে, আকাশ চুবৰে মন 😎 @ Narakasur Hill https://t.co/4vPdnP5xiN",0.0,0.34
31,1439839618325692416,2021-09-20 06:31:30,26.14240561,91.7413035,"#Apartment in Anupam Enclave, #Guwahati #3BHK #Flat #ForSale #LalGanesh #Residential #Property
https://t.co/7RSPq6MLAz",-0.025,-0.025
32,1439664121100869632,2021-09-19 18:54:08,26.1414266,91.7755571,"সাৰ পোৱা সময়ে, দুচকুতে লৈ ফুৰে অফুৰন্ত সপোন😎 @ Belli View Hill Top, River Brahmaputra, Guwahati, Assam https://t.co/sZjpWtw3P2",0.5,0.34
33,1439664369059651595,2021-09-19 18:55:07,26.10452,91.5911,Just posted a video @ Depor Beel https://t.co/2RqZLwQiyk,0.0,0.0
34,1439817557347913731,2021-09-20 05:03:50,26.1514318,91.79243823,Just posted a photo @ The RAW GYM https://t.co/5w7lUkFCu4,-0.23076923076923078,-0.23076923076923078
35,1439890259974709254,2021-09-20 09:52:44,26.16079205,91.78104305,Just posted a photo @ Chai Piyo https://t.co/1oqRX89UZC,0.0,0.0
36,1439904210468933639,2021-09-20 10:48:10,26.198958,91.800114,"#Apartment in Sattyam #3BHK #Flat #ForSale #Noonmati #Guwahati #Residential #Property
https://t.co/4u6U0TrzgB",-0.025,-0.025
